562	426	444	296	385	550	581	528	65	160	324	86	443	341	180	265	233	225	182	223	143	193	353	415	618	503	525	387	
149	258	375	499	433	430	483	294	106	230	554	357	584	109	103	162	88	413	530	235	305	116	358	242	342	343	97	335	
347	613	527	329	257	164	240	250	393	71	588	277	331	74	362	175	476	405	135	221	172	145	44	380	330	137	462	208	
234	359	373	356	138	299	33	12	282	231	423	448	461	672	355	363	322	298	311	354	276	272	655	336	95	408	487	557	
120	473	472	191	186	104	212	246	569	592	471	534	463	547	521	420	114	636	576	652	361	128	197	159	48	512	553	519	
279	315	123	91	210	565	593	390	157	60	57	38	42	350	377	611	502	409	383	529	432	52	133	259	491	668	577	599	
511	671	416	548	370	382	651	703	612	414	269	45	638	117	556	656	539	690	643	192	102	112	367	583	292	507	445	598	
670	360	479	163	209	156	288	688	633	232	267	127	684	717	753	741	728	563	132	166	605	648	391	290	545	140	199	302	
227	206	125	567	590	682	179	281	458	731	750	760	739	676	708	771	442	660	745	460	677	603	678	664	602	467	480	552	
275	456	662	397	213	205	436	264	412	96	714	686	517	26	531	289	108	15	141	632	720	715	661	757	641	572	466	368	
92	229	701	469	266	303	600	691	673	685	526	752	761	80	3	136	4	153	689	710	726	551	733	674	496	321	332	129	
627	339	634	285	533	609	419	421	263	155	725	722	762	729	495	107	665	675	779	712	61	669	597	707	29	25	319	328	
692	542	709	666	721	642	509	194	644	84	732	679	774	778	351	772	765	697	713	5	540	154	8	207	51	99	238	345	
607	566	183	338	297	428	184	687	736	389	371	639	763	746	777	606	759	747	21	131	36	440	63	515	18	168	165	314	
630	514	659	449	50	501	622	559	663	657	523	614	764	497	781	755	654	37	105	115	113	16	401	82	77	13	376	196	
177	450	270	134	699	650	724	500	20	66	139	694	742	587	645	14	2	293	508	586	62	150	424	455	100	204	239	295	
167	152	69	451	481	93	468	64	195	369	702	555	740	751	595	185	1	146	649	90	32	87	317	596	53	453	452	222	
89	47	176	24	70	245	75	118	629	693	769	766	767	435	498	39	11	334	203	680	81	394	482	425	513	591	549	337	
214	310	218	520	144	31	0	46	560	770	782	776	574	696	667	273	624	604	737	704	625	700	251	344	464	683	173	271	
589	283	568	54	400	6	30	621	775	783	756	504	619	224	647	631	211	718	698	111	478	320	161	178	437	506	616	446	
241	126	457	427	579	719	620	749	780	773	571	17	488	734	758	754	411	537	617	768	243	594	170	280	101	215	228	402	
477	384	744	326	249	492	738	705	716	505	28	470	748	608	730	68	190	244	73	623	601	564	19	122	98	220	474	346	
681	575	85	585	640	543	646	658	743	723	490	610	735	121	202	9	151	653	570	628	447	300	580	248	439	441	308	307	
711	561	306	181	323	34	546	582	706	727	518	626	695	94	261	76	40	573	381	429	407	524	23	67	418	260	364	365	
318	79	494	41	124	56	35	475	287	130	431	399	49	72	226	171	254	78	284	388	187	252	219	349	493	637	541	312	
510	198	438	201	313	58	379	55	7	189	10	188	200	119	286	522	148	304	217	395	147	532	255	486	635	403	274	386	
333	316	578	291	465	406	43	22	27	110	59	256	544	485	615	301	392	374	372	325	422	459	558	404	396	340	216	454	
538	278	309	434	535	253	262	169	247	348	352	516	536	158	83	174	142	489	327	378	366	236	237	268	410	398	484	417	
