376	371	357	358	339	326	486	549	558	563	523	460	303	266	263	282	349	478	516	511	510	525	500	499	482	470	447	425	
364	370	316	270	275	576	637	678	694	666	607	280	221	220	253	592	604	602	593	577	579	569	559	537	536	512	471	426	
347	473	434	570	621	605	564	279	274	249	232	340	625	654	692	663	572	608	618	613	615	546	476	296	323	379	493	429	
317	304	485	590	665	653	178	92	82	71	172	250	661	690	646	506	212	242	181	109	130	163	211	241	278	337	505	431	
291	320	568	677	717	635	64	12	11	36	491	698	727	674	273	490	204	121	47	30	65	161	222	233	236	312	531	432	
276	314	657	708	721	315	10	3	5	46	689	728	736	664	194	177	62	31	131	300	633	691	599	302	234	319	538	423	
257	557	671	679	687	601	115	87	151	165	660	617	611	182	98	74	57	228	743	763	755	716	591	327	259	325	541	422	
299	597	673	623	668	714	748	758	724	580	246	219	184	175	126	168	629	747	771	770	740	574	238	487	462	522	543	430	
308	481	561	562	627	734	768	767	742	670	656	180	84	106	120	101	566	710	749	705	144	41	125	227	451	373	507	428	
286	269	245	217	540	706	764	759	761	744	730	600	51	40	25	38	215	686	256	49	26	70	203	307	547	545	467	424	
444	329	244	164	91	79	93	147	262	610	696	170	32	6	4	61	693	640	112	23	44	123	247	518	626	583	367	421	
298	261	200	116	53	19	7	9	54	113	136	22	1	0	63	754	762	631	72	33	55	108	189	517	630	575	332	420	
318	310	501	556	652	224	73	17	34	66	176	129	15	48	776	779	765	95	45	42	157	174	243	584	612	551	324	419	
330	552	636	697	738	733	685	197	171	179	306	737	778	782	783	777	154	21	111	255	699	709	682	643	567	343	328	417	
497	553	441	474	667	683	688	565	231	39	8	138	774	780	781	772	124	27	207	722	760	729	662	620	514	341	346	391	
289	206	143	133	97	102	186	201	188	28	2	16	695	766	775	746	122	69	205	681	712	634	502	509	526	448	377	414	
335	459	513	166	37	14	24	137	213	103	76	127	240	268	616	114	29	56	67	88	149	110	117	196	489	477	469	405	
571	650	704	680	153	78	135	603	202	18	13	20	35	59	85	148	167	118	94	96	99	60	52	155	355	492	480	381	
334	649	725	703	305	185	252	254	152	75	183	145	139	622	723	732	711	726	753	741	707	309	146	192	290	455	483	395	
519	619	676	614	159	134	104	43	68	271	718	713	701	751	750	731	735	757	773	769	756	715	542	301	293	344	453	407	
297	433	585	237	119	128	132	81	209	684	720	645	260	313	368	586	199	648	739	752	745	719	606	322	285	452	465	406	
539	578	595	248	158	191	193	210	655	700	659	160	50	58	107	140	89	86	284	641	702	675	609	554	498	496	461	401	
479	520	582	581	528	336	229	362	669	658	288	105	100	141	156	90	77	80	83	162	225	281	258	295	360	458	437	412	
504	548	596	624	647	638	598	639	644	495	195	169	272	594	534	208	190	173	142	150	187	198	218	265	442	394	396	397	
439	468	535	587	628	632	651	672	642	366	216	226	359	294	369	503	560	342	267	239	264	277	311	331	472	398	399	400	
450	463	484	530	550	555	573	588	589	529	457	333	287	230	214	223	235	251	283	292	321	338	353	361	436	402	403	404	
438	449	456	466	454	363	350	365	488	515	544	524	533	508	445	345	351	348	443	354	446	374	440	372	435	408	409	410	
411	416	413	415	380	375	356	352	378	475	521	532	527	494	464	385	384	383	382	392	393	386	387	388	389	390	427	418	
