agent0_color_g,agent2_model,agent1_location_x,agent1_model,agent0_heading,agent3_color_b,agent3_color_g,agent1_distance,class
152,BUFFALO,-370.8551564,BUFFALO,314.4652302,252,252,31.35072003,p5c
243,ORACLE,-370.3855501,PATRIOT,321.083385,177,179,31.87836021,p5c
72,PRANGER,-371.9320057,PRANGER,320.5912856,81,81,30.14082876,p5c
81,BLISTA,-369.3549589,ORACLE,328.1071865,247,247,33.0363413,p5c
255,NINEF,-370.4004584,NINEF,323.1550137,63,70,31.86160934,p5c
217,ASEA,-371.781379,BUFFALO,311.8214604,139,139,30.31006197,p5c
255,BALLER,-369.7098507,DOMINATOR,312.0005881,255,255,32.63757744,p5c
43,DOMINATOR,-370.1226312,BISON,314.3857782,142,142,32.17377433,p5c
243,BLISTA,-369.772632,ORACLE,325.2488004,181,194,32.56703551,p5c
255,BLISTA,-370.6490491,PRANGER,317.2595066,232,232,31.58229697,p5c
121,BUFFALO,-370.4548627,BOBCATXL,329.1750755,118,148,31.80048139,p5c
237,DOMINATOR,-370.5786673,BALLER,317.6022052,25,25,31.66137658,p5c
33,BISON,-370.0870553,NINEF,312.51678,133,203,32.21374745,p5c
158,JACKAL,-371.7188313,BISON,326.1029136,55,56,30.38033625,p5c
246,PATRIOT,-371.7820148,BOBCATXL,326.5253825,87,93,30.30934755,p5c
254,BLISTA,-371.7756126,BALLER,314.886473,156,156,30.3165407,p5c
247,NINEF,-372.0123765,NINEF,325.4822392,123,123,30.05053042,p5c
194,BLISTA,-370.5010092,BOBCATXL,319.3257319,196,182,31.74863186,p5c
174,BISON,-371.710336,BALLER,321.7507619,72,76,30.38988104,p5c
235,BOBCATXL,-371.0370763,GRANGER,321.8489837,114,189,31.14632084,p5c
210,BOBCATXL,-370.0806118,BALLER,327.2790274,214,214,32.2209873,p5c
50,GRANGER,-370.0120347,BLISTA,319.2892496,46,46,32.2980407,p5c
154,BLISTA,-370.6739576,BISON,325.3772357,239,239,31.55431027,p5c
59,BALLER,-371.5175067,BISON,315.7423332,159,159,30.60653209,p5c
65,BALLER,-371.3661317,PATRIOT,328.3066506,58,58,30.7766087,p5c
182,JACKAL,-371.7173619,BUFFALO,325.6199625,158,164,30.38198715,p5c
13,PATRIOT,-370.2455749,BOBCATXL,328.5433378,21,21,32.03563522,p5c
255,PATRIOT,-371.5847658,DOMINATOR,329.8567406,255,255,30.53096373,p5c
182,BISON,-371.2418235,PRANGER,330.4382756,32,32,30.91627538,p5c
208,ASEA,-369.4302107,NINEF,324.1792178,87,120,32.95178646,p5c
181,ASEA,-370.2404975,ASEA,315.7090323,235,235,32.04134015,p5c
47,BLISTA,-370.1788809,PATRIOT,330.0082211,255,255,32.11057223,p5c
95,BISON,-371.2874881,BLISTA,313.7998036,251,251,30.86496885,p5c
159,ASEA,-370.1235309,BALLER,311.3202838,192,192,32.17276342,p5c
255,PATRIOT,-369.5423425,PRANGER,322.6143752,118,118,32.82579257,p5c
170,PATRIOT,-370.9078608,NINEF,312.243829,103,171,31.291503,p5c
255,DOMINATOR,-371.2058126,ORACLE,312.9741356,67,67,30.9567357,p5c
89,NINEF,-371.500202,BALLER,324.2756619,175,183,30.62597462,p5c
0,BUFFALO,-371.5226504,BUFFALO,330.5166595,84,95,30.60075288,p5c
255,NINEF,-370.3235408,BOBCATXL,325.5008849,108,110,31.9480332,p5c
71,BOBCATXL,-371.0081214,GRANGER,321.4110927,61,61,31.17885358,p5c
255,BLISTA,-369.7841158,PRANGER,325.817992,112,120,32.55413213,p5c
159,ASEA,-370.674241,JACKAL,330.4938828,53,176,31.55399192,p5c
130,PATRIOT,-371.7523553,BALLER,330.1969724,187,187,30.34267091,p5c
144,ASEA,-370.480191,DOMINATOR,315.1779791,109,109,31.77202282,p5c
231,BOBCATXL,-371.2400253,BALLER,326.4582813,182,182,30.91829576,p5c
206,BALLER,-371.5714528,GRANGER,328.2718673,239,239,30.54592138,p5c
137,BALLER,-370.2565981,GRANGER,311.3124341,181,181,32.02324961,p5c
74,BISON,-371.6269477,GRANGER,318.285197,178,179,30.4835707,p5c
69,PRANGER,-372.0171691,GRANGER,316.6087001,255,255,30.04514587,p5c
28,JACKAL,-371.7650686,BOBCATXL,325.4748539,215,215,30.3283872,p5c
121,BISON,-371.0172046,JACKAL,311.5351336,200,200,31.16864799,p5c
174,JACKAL,-371.7417325,ORACLE,314.380112,251,251,30.35460605,p5c
255,NINEF,-370.7305687,BALLER,316.7841121,186,109,31.49070341,p5c
142,DOMINATOR,-369.8740186,ASEA,312.9043176,210,210,32.45311644,p5c
255,ASEA,-371.5691686,BUFFALO,325.2117706,255,255,30.54848776,p5c
137,NINEF,-369.8363671,BISON,311.9553262,83,41,32.49542205,p5c
189,JACKAL,-370.6513814,JACKAL,323.5478857,169,181,31.57967645,p5c
255,NINEF,-370.7048239,BALLER,317.4945276,254,254,31.51962966,p5c
81,GRANGER,-369.3997905,ORACLE,316.8246953,236,236,32.98596736,p5c
201,JACKAL,-370.6471455,ORACLE,313.8392006,53,53,31.58443576,p5c
243,BISON,-370.9932799,PRANGER,317.4644668,132,119,31.19552894,p5c
189,JACKAL,-370.0380361,BUFFALO,329.907842,86,86,32.26882551,p5c
255,ASEA,-371.5115843,GRANGER,321.1914732,69,69,30.61318607,p5c
130,ORACLE,-369.6614638,DOMINATOR,314.5677501,0,0,32.69194566,p5c
222,JACKAL,-371.0302575,BALLER,330.8040555,145,159,31.15398223,p5c
195,BLISTA,-371.7654119,GRANGER,313.518354,153,164,30.32800149,p5c
33,PATRIOT,-371.8123315,JACKAL,313.5441203,155,159,30.27528589,p5c
174,ASEA,-371.7946446,JACKAL,328.6849762,18,18,30.29515763,p5c
240,ASEA,-370.6495593,JACKAL,315.8718083,125,130,31.5817237,p5c
114,ASEA,-370.9648313,GRANGER,320.2492441,184,197,31.22749278,p5c
241,PATRIOT,-370.5893874,ORACLE,318.8514814,30,30,31.64933158,p5c
238,DOMINATOR,-371.9670281,PATRIOT,322.4014458,243,247,30.10148026,p5c
190,BLISTA,-371.237372,BUFFALO,311.6140805,174,174,30.92127689,p5c
235,ASEA,-370.616559,GRANGER,311.7968678,142,145,31.61880213,p5c
223,BLISTA,-370.1666232,BALLER,318.5152704,191,105,32.12434501,p5c
176,DOMINATOR,-370.5696719,BALLER,315.966862,159,159,31.67148356,p5c
178,BUFFALO,-369.3401541,NINEF,316.7879166,120,210,33.05297634,p5c
200,BLISTA,-369.7717812,ASEA,330.9434197,133,138,32.5679915,p5c
231,ORACLE,-369.6919055,ASEA,311.698402,142,142,32.65774094,p5c
153,ORACLE,-371.446123,NINEF,321.4203971,50,50,30.68673478,p5c
137,BALLER,-370.8199282,PRANGER,317.6303239,255,255,31.39030138,p5c
255,BLISTA,-370.4194445,PRANGER,326.0974862,153,186,31.84027677,p5c
149,NINEF,-371.8243325,BLISTA,328.736229,141,141,30.26180239,p5c
229,DOMINATOR,-371.1939876,JACKAL,322.5851501,125,145,30.97002171,p5c
127,DOMINATOR,-371.2297346,GRANGER,325.4653145,255,255,30.92985796,p5c
25,ORACLE,-371.4593755,GRANGER,315.7429474,153,89,30.67184499,p5c
7,PATRIOT,-369.8344661,BUFFALO,323.8235939,126,126,32.49755796,p5c
255,NINEF,-371.3120385,GRANGER,324.4634018,55,55,30.8373852,p5c
109,BALLER,-370.8281024,PRANGER,315.1061692,179,182,31.3811171,p5c
133,BISON,-371.2357311,BISON,315.7690862,13,13,30.92312061,p5c
200,DOMINATOR,-370.9449406,BISON,326.3210083,82,64,31.24984131,p5c
170,ASEA,-370.3399347,GRANGER,324.8972689,154,70,31.92961323,p5c
158,NINEF,-371.4474587,BISON,322.7115899,197,145,30.68523399,p5c
144,BOBCATXL,-370.8552948,ORACLE,320.6444444,159,159,31.35056453,p5c
203,ASEA,-371.1300451,BLISTA,317.521895,139,172,31.04186479,p5c
52,DOMINATOR,-370.5631902,PATRIOT,325.1469825,115,115,31.67876637,p5c
48,BALLER,-370.870408,PRANGER,326.6582373,110,160,31.33358376,p5c
57,BUFFALO,-371.7458341,BLISTA,313.8835274,46,46,30.34999777,p5c
255,PATRIOT,-371.995172,BUFFALO,325.8315779,92,92,30.06986005,p5c
173,JACKAL,-371.0897049,BLISTA,313.0520421,82,82,31.08718942,p5c
125,DOMINATOR,-370.1758324,DOMINATOR,315.5096759,95,95,32.11399761,p5c
105,NINEF,-371.0094152,PRANGER,321.5992583,122,134,31.17739986,p5c
140,JACKAL,-372.0377537,BUFFALO,313.7564016,55,54,30.02201863,p5c
89,BALLER,-371.771046,BOBCATXL,318.7004389,146,168,30.32167134,p5c
0,BUFFALO,-371.8384944,PATRIOT,321.5706971,169,165,30.24589111,p5c
91,JACKAL,-371.8516246,PATRIOT,328.0782817,87,91,30.23113895,p5c
255,ASEA,-369.6405798,PATRIOT,311.8740831,110,110,32.7154113,p5c
151,ORACLE,-371.5857191,BOBCATXL,314.2214008,255,255,30.52989262,p5c
130,BLISTA,-370.7584676,BUFFALO,328.5065323,146,146,31.45935683,p5c
160,BISON,-370.5651094,JACKAL,325.1143103,61,61,31.6766099,p5c
188,NINEF,-371.0040212,GRANGER,314.2856097,242,242,31.18346036,p5c
59,BISON,-370.813151,BLISTA,330.8840559,70,70,31.39791611,p5c
93,BOBCATXL,-370.2507982,PRANGER,329.9435291,151,141,32.02976634,p5c
139,BLISTA,-371.4858192,BOBCATXL,322.0999516,25,25,30.64213436,p5c
139,NINEF,-369.7919335,BUFFALO,328.2833477,191,191,32.54534806,p5c
219,GRANGER,-370.9838151,ASEA,330.4422796,255,255,31.20616322,p5c
68,BALLER,-370.6051371,BUFFALO,321.7936806,79,95,31.63163551,p5c
139,BLISTA,-369.7409842,PRANGER,330.7658569,139,139,32.60259541,p5c
113,BLISTA,-369.8165324,ORACLE,324.8037839,140,140,32.51770849,p5c
83,BLISTA,-371.9298093,BOBCATXL,319.3608236,166,166,30.1432965,p5c
239,BUFFALO,-371.7898159,GRANGER,320.9541214,255,255,30.30058277,p5c
162,BLISTA,-369.7656903,BISON,313.3429637,57,57,32.57483531,p5c
46,JACKAL,-371.6561229,JACKAL,324.9760144,62,65,30.45079127,p5c
181,ORACLE,-370.7545095,BISON,313.8593278,38,38,31.46380406,p5c
95,ORACLE,-371.4716007,JACKAL,330.4070307,98,100,30.65810944,p5c
113,ORACLE,-370.9994394,BOBCATXL,315.1298759,228,228,31.18860831,p5c
184,ASEA,-370.9792331,PATRIOT,313.6735564,213,221,31.21131143,p5c
28,PRANGER,-370.1509161,JACKAL,311.8458594,119,119,32.14199342,p5c
231,DOMINATOR,-371.357252,DOMINATOR,326.8824685,52,52,30.78658549,p5c
255,BISON,-370.7785041,GRANGER,325.4892577,133,133,31.43684437,p5c
255,NINEF,-371.527725,ORACLE,320.6502261,29,29,30.5950513,p5c
159,BISON,-370.6140935,GRANGER,312.3302016,255,255,31.62157231,p5c
54,BISON,-370.3469418,NINEF,313.0169747,54,54,31.92174006,p5c
58,BLISTA,-369.7595456,PRANGER,327.2163166,255,255,32.58173949,p5c
58,PRANGER,-370.0749053,BLISTA,319.7882206,178,62,32.22739922,p5c
235,BLISTA,-371.6671823,BISON,316.1269718,61,61,30.43836565,p5c
217,PATRIOT,-371.7988798,NINEF,319.0736766,103,103,30.29039921,p5c
73,BOBCATXL,-371.9763483,PRANGER,317.4141954,140,140,30.09100888,p5c
139,ASEA,-369.9289347,ORACLE,329.2316993,44,44,32.39141235,p5c
184,JACKAL,-369.3881195,BUFFALO,328.2134385,105,105,32.99908113,p5c
222,DOMINATOR,-371.4377815,BLISTA,312.2233183,148,175,30.69610685,p5c
155,DOMINATOR,-371.2491156,BUFFALO,318.1104315,177,177,30.90808231,p5c
163,ASEA,-370.6579846,BUFFALO,315.8845993,120,120,31.57225716,p5c
255,PATRIOT,-370.55461,PRANGER,318.9222559,79,127,31.68840692,p5c
187,PATRIOT,-370.6995936,PATRIOT,326.0271111,255,255,31.52550628,p5c
159,BLISTA,-371.3861495,BUFFALO,330.9166081,127,176,30.75411778,p5c
119,DOMINATOR,-369.7802211,BOBCATXL,316.1072254,37,37,32.55850825,p5c
255,JACKAL,-369.3213083,JACKAL,316.9296135,255,255,33.074152,p5c
154,NINEF,-371.4137087,GRANGER,326.7439799,35,35,30.72315371,p5c
87,DOMINATOR,-371.6931239,PATRIOT,329.1654606,125,100,30.40921938,p5c
103,BISON,-371.6819907,BLISTA,322.0848556,102,118,30.42172789,p5c
74,BALLER,-371.2473812,GRANGER,316.7542418,154,154,30.91003105,p5c
85,ASEA,-370.6691478,BOBCATXL,314.7600688,210,210,31.55971441,p5c
255,ORACLE,-370.2777187,BLISTA,326.2397289,84,84,31.99951865,p5c
63,BOBCATXL,-371.3544138,GRANGER,317.2643262,250,250,30.78977433,p5c
85,BISON,-370.5470315,BOBCATXL,311.9638518,45,48,31.69692195,p5c
247,PATRIOT,-371.959497,BOBCATXL,316.1831274,40,40,30.10994167,p5c
77,ASEA,-370.6182748,BOBCATXL,313.8067162,220,220,31.6168743,p5c
172,BUFFALO,-371.9517499,BALLER,313.6304165,235,235,30.11864572,p5c
114,ASEA,-371.3410345,BUFFALO,322.2192063,61,61,30.80480668,p5c
189,GRANGER,-369.7442454,ASEA,324.5587813,220,220,32.59893104,p5c
91,ASEA,-370.0871667,ORACLE,330.2433046,233,233,32.21362229,p5c
126,ORACLE,-369.6975484,BLISTA,322.5525393,162,162,32.6514004,p5c
228,ORACLE,-372.0341621,NINEF,330.1151929,228,228,30.02605386,p5c
114,ASEA,-371.4824335,JACKAL,319.3930734,245,247,30.64593833,p5c
250,NINEF,-370.7305968,GRANGER,311.7065777,40,40,31.49067178,p5c
255,JACKAL,-370.405643,PATRIOT,317.4618206,245,245,31.85578408,p5c
101,ORACLE,-371.0803761,ASEA,329.4837758,33,33,31.09767085,p5c
172,NINEF,-370.6613178,BUFFALO,321.3738889,66,130,31.5685121,p5c
133,DOMINATOR,-370.546283,ASEA,324.9870222,168,168,31.69776295,p5c
161,PATRIOT,-369.9062232,BISON,326.3079779,250,250,32.4169311,p5c
149,ASEA,-371.374566,PATRIOT,326.707259,43,43,30.76713241,p5c
248,DOMINATOR,-371.0387192,PRANGER,320.7034126,42,42,31.14447502,p5c
255,PATRIOT,-371.9479711,BISON,327.9785212,33,33,30.12289123,p5c
54,ORACLE,-370.9643388,PATRIOT,319.8748693,255,255,31.22804616,p5c
119,BISON,-371.6721919,GRANGER,316.2985256,70,70,30.43273724,p5c
198,BOBCATXL,-370.7767624,PATRIOT,314.304802,146,175,31.43880127,p5c
70,JACKAL,-369.9226961,ASEA,320.7331925,255,255,32.39842207,p5c
97,PRANGER,-371.0723537,GRANGER,328.5116805,192,203,31.10668455,p5c
39,ASEA,-371.1839638,PATRIOT,328.2467661,59,59,30.98128398,p5c
203,ASEA,-371.0845307,PRANGER,315.0529265,207,210,31.09300297,p5c
151,JACKAL,-370.5990145,BOBCATXL,316.9897818,248,248,31.63851475,p5c
219,BUFFALO,-370.0602174,PRANGER,327.257779,154,152,32.24390251,p5c
