175, 179, 13, GRANGER, 184, CLEAR, 330.9378691, -690.0233372, -196.969697, 18, 12.70070111, 80.29686328, p5c
255, 255, 15, GRANGER, 255, OVERCAST, 219.9035923, -692.2987165, -196.969697, 54, 13.55518978, -30.7374135, p5c
158, 158, 6, GRANGER, 199, CLOUDS, 304.3700059, -691.5402567, -191.6666667, 8, 18.21525731, 53.72900005, p5c
181, 181, 17, GRANGER, 200, CLEARING, 164.4939675, -690.0233372, -194.6969697, 42, 14.88522522, -86.14703838, p5c
155, 161, 13, BALLER, 165, CLOUDS, 307.4875077, -693.8156359, -191.6666667, 7, 19.00352847, 56.84650187, p5c
50, 50, 9, BLISTA, 214, OVERCAST, 307.964896, -690.781797, -199.2424242, 6, 10.84915653, 57.3238902, p5c
55, 55, 15, BOBCATXL, 55, CLOUDS, 182.228578, -689.2648775, -197.7272727, 13, 11.76174775, -68.41242787, p5c
179, 179, 13, PRANGER, 179, EXTRASUNNY, 266.2827424, -691.5402567, -191.6666667, 25, 18.21525731, 15.64173657, p5c
213, 213, 6, GRANGER, 229, RAIN, 186.6213877, -692.2987165, -195.4545455, 55, 14.9254841, -64.01961812, p5c
255, 255, 16, BUFFALO, 255, CLEAR, 209.8375421, -693.8156359, -193.1818182, 48, 17.62466364, -40.80346377, p5c
52, 52, 6, GRANGER, 55, EXTRASUNNY, 176.8654717, -690.0233372, -196.2121212, 31, 13.42562253, -73.7755341, p5c
125, 125, 13, BALLER, 191, CLEAR, 197.4007476, -693.8156359, -190.9090909, 30, 19.70047006, -53.24025827, p5c
243, 243, 16, GRANGER, 243, EXTRASUNNY, 221.7140989, -688.5064177, -199.2424242, 37, 10.10801515, -28.92690688, p5c
54, 54, 16, BISON, 54, CLEAR, 181.7003502, -690.0233372, -195.4545455, 41, 14.15396461, -68.94065563, p5c
133, 133, 7, PRANGER, 133, CLEARING, 331.8855364, -691.5402567, -191.6666667, 43, 18.21525731, 81.24453059, p5c
255, 255, 7, ASEA, 255, OVERCAST, 170.6636605, -692.2987165, -194.6969697, 28, 15.62066872, -79.97734533, p5c
89, 89, 13, ASEA, 93, EXTRASUNNY, 336.8037612, -692.2987165, -194.6969697, 21, 15.62066872, 86.16275538, p5c
148, 150, 11, DOMINATOR, 150, CLOUDS, 239.2772443, -690.0233372, -202.2727273, 32, 7.801965432, -11.36376148, p5c
183, 196, 15, BISON, 223, OVERCAST, 160.8634913, -688.5064177, -198.4848485, 14, 10.84748707, -89.77751448, p5c
241, 241, 11, PATRIOT, 243, SMOG, 221.3172061, -690.0233372, -194.6969697, 3, 14.88522522, -29.32379968, p5c
255, 255, 13, DOMINATOR, 255, CLEAR, 315.5215791, -693.8156359, -190.9090909, 49, 19.70047006, 64.88057326, p5c
255, 255, 9, BUFFALO, 255, FOGGY, 238.6587099, -690.0233372, -202.2727273, 38, 7.801965432, -11.98229588, p5c
162, 174, 11, GRANGER, 175, BLIZZARD, 213.2524537, -693.8156359, -191.6666667, 10, 19.00352847, -37.3885521, p5c
137, 137, 16, BUFFALO, 137, CLEAR, 234.2149099, -690.781797, -200.7575758, 19, 9.49503621, -16.42609588, p5c
24, 25, 7, ORACLE, 26, OVERCAST, 184.9765952, -690.0233372, -196.2121212, 55, 13.42562253, -65.66441067, p5c
39, 39, 13, BALLER, 174, RAIN, 303.3658998, -691.5402567, -191.6666667, 54, 18.21525731, 52.72489402, p5c
74, 207, 9, BISON, 181, EXTRASUNNY, 180.3330507, -693.8156359, -190.9090909, 58, 19.70047006, -70.30795508, p5c
78, 78, 9, JACKAL, 78, EXTRASUNNY, 170.8871483, -692.2987165, -196.2121212, 24, 14.23666751, -79.7538575, p5c
52, 61, 14, BLISTA, 65, CLEARING, 309.8952517, -692.2987165, -194.6969697, 29, 15.62066872, 59.25424592, p5c
38, 38, 15, BUFFALO, 38, CLOUDS, 340.5152381, -691.5402567, -197.7272727, 27, 12.54282681, 89.87423228, p5c
160, 160, 11, BLISTA, 181, RAIN, 243.6244082, -691.5402567, -190.1515152, 16, 19.66957786, -7.016597633, p5c
148, 176, 16, PATRIOT, 183, CLEAR, 162.0652767, -693.0571762, -193.9393939, 53, 16.61829858, -88.57572914, p5c
40, 43, 11, BISON, 43, OVERCAST, 328.9263502, -692.2987165, -194.6969697, 2, 15.62066872, 78.28534435, p5c
255, 255, 9, BOBCATXL, 255, RAIN, 168.617404, -693.8156359, -190.9090909, 45, 19.70047006, -82.0236018, p5c
30, 30, 12, BUFFALO, 34, CLEAR, 324.3932324, -692.2987165, -194.6969697, 25, 15.62066872, 73.75222659, p5c
255, 255, 15, DOMINATOR, 255, EXTRASUNNY, 186.6087194, -690.0233372, -196.969697, 50, 12.70070111, -64.03228641, p5c
233, 233, 15, BALLER, 233, CLOUDS, 277.4825425, -691.5402567, -197.7272727, 20, 12.54282681, 26.84153671, p5c
255, 255, 16, ASEA, 255, EXTRASUNNY, 327.1973063, -691.5402567, -191.6666667, 49, 18.21525731, 76.55630044, p5c
208, 208, 7, ASEA, 208, CLEAR, 326.5987662, -693.8156359, -191.6666667, 5, 19.00352847, 75.95776035, p5c
255, 255, 11, ORACLE, 255, EXTRASUNNY, 280.4411345, -689.2648775, -197.7272727, 13, 11.76174775, 29.80012863, p5c
255, 255, 13, JACKAL, 255, OVERCAST, 162.9272026, -692.2987165, -196.969697, 15, 13.55518978, -87.71380323, p5c
180, 182, 17, BOBCATXL, 203, NEUTRAL, 232.453204, -688.5064177, -199.2424242, 29, 10.10801515, -18.18780185, p5c
44, 214, 8, GRANGER, 210, CLEAR, 319.354234, -693.8156359, -191.6666667, 14, 19.00352847, 68.71322821, p5c
196, 101, 14, BOBCATXL, 163, CLEAR, 271.8882354, -690.781797, -193.1818182, 17, 16.54726017, 21.24722955, p5c
