260	470	568	552	166	151	134	516	77	152	278	653	306	733	185	576	385	588	281	355	111	205	435	338	323	244	452	326	
617	598	467	462	474	422	619	99	49	174	396	502	716	740	760	352	102	629	453	454	71	321	476	583	492	314	404	239	
668	156	440	464	491	158	363	93	36	679	230	721	644	609	292	651	25	519	219	176	514	543	487	277	288	420	384	496	
188	642	518	138	42	140	234	284	378	593	246	192	606	361	563	580	628	65	504	263	461	337	161	149	627	305	398	448	
182	589	672	225	34	586	571	694	233	703	212	424	20	459	626	349	100	163	40	57	698	340	10	354	95	561	594	330	
203	442	316	602	264	605	51	525	729	224	164	27	320	221	144	220	73	109	141	509	613	191	46	282	523	279	313	190	
108	75	678	171	501	312	577	236	362	214	445	551	204	484	556	481	520	133	129	742	575	376	8	160	142	438	251	307	
147	267	537	707	566	622	691	74	30	218	297	773	781	715	782	774	570	408	776	680	276	153	86	296	530	180	122	223	
542	274	113	283	334	426	107	56	127	271	772	677	778	755	157	780	413	79	713	616	117	38	2	196	28	555	228	293	
524	490	126	101	63	103	12	725	697	761	712	505	358	738	671	685	595	202	499	250	303	67	94	344	515	360	375	425	
187	567	150	359	335	538	189	89	777	779	478	536	768	744	771	658	82	61	657	686	333	31	255	554	607	301	466	439	
249	379	364	620	139	689	708	211	70	286	78	23	723	763	762	273	532	756	247	528	347	625	737	634	350	498	392	508	
69	165	432	83	718	458	304	199	210	300	662	433	722	775	767	494	98	766	765	565	754	118	130	395	618	449	162	269	
574	416	287	451	746	684	745	706	764	66	513	318	444	641	717	720	751	719	695	739	548	497	119	262	342	479	558	295	
560	640	748	434	647	667	752	783	676	578	173	597	45	53	665	430	730	603	64	633	16	11	43	14	529	600	389	322	
482	495	591	727	770	690	547	704	753	728	709	614	405	521	621	759	460	294	436	656	18	58	39	252	545	664	291	206	
468	257	666	87	675	503	290	741	506	624	769	673	650	181	177	114	96	47	3	44	227	443	37	179	115	393	175	310	
319	485	159	357	193	59	155	410	660	731	534	682	48	54	0	33	21	81	241	116	299	615	562	473	256	289	415	371	
601	135	22	170	184	331	400	72	469	124	55	29	5	1	4	26	585	522	280	714	431	511	217	693	592	463	383	540	
604	394	110	92	15	32	437	24	104	186	7	41	17	137	52	62	377	732	702	687	13	599	681	674	465	373	539	399	
572	209	91	254	581	259	35	85	587	9	6	68	88	726	168	388	90	366	455	724	136	208	266	441	397	549	183	339	
382	112	343	232	374	387	636	105	169	60	632	143	258	402	669	128	630	750	345	711	590	309	692	216	243	655	406	403	
596	370	120	700	198	356	298	475	683	84	736	564	213	663	652	19	407	510	97	635	329	428	238	194	747	325	423	372	
623	659	527	553	390	131	701	270	121	327	272	610	167	123	106	197	222	705	332	645	710	649	557	353	631	489	417	533	
734	178	76	207	743	411	512	612	531	646	409	125	699	381	419	200	132	488	749	758	450	639	757	253	637	245	573	483	
429	268	240	235	324	559	472	493	535	311	172	226	146	526	367	654	500	346	661	584	735	670	154	446	341	447	248	368	
302	50	215	195	80	608	456	471	638	369	688	365	569	643	696	427	457	611	418	480	486	582	648	544	550	201	507	412	
229	285	380	421	145	308	386	414	275	237	242	317	261	336	148	517	348	231	579	265	315	546	401	328	541	477	391	351	
